Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Analogue 1 + 2,Device,Capture,Focusrite Usb Audio,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.1.00000000}.{5bb0492b-a3ae-41b3-b7a9-877617a6ec8b},Focusrite Usb Audio\Device\Analogue 1 + 2\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{5bb0492b-a3ae-41b3-b7a9-877617a6ec8b}
CABLE-A Input,Device,Render,VB-Audio Cable A,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.0.00000000}.{107e5ffc-15f6-43b9-af71-865cf829ece8},VB-Audio Cable A\Device\CABLE-A Input\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{107e5ffc-15f6-43b9-af71-865cf829ece8}
CABLE-A Output,Device,Capture,VB-Audio Cable A,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.1.00000000}.{89e457f6-df4d-4457-b64b-39d5816b010b},VB-Audio Cable A\Device\CABLE-A Output\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{89e457f6-df4d-4457-b64b-39d5816b010b}
CABLE-B Input,Device,Render,VB-Audio Cable B,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.0.00000000}.{9c2ffb91-7173-4597-ba24-ba2c19c6f8c0},VB-Audio Cable B\Device\CABLE-B Input\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{9c2ffb91-7173-4597-ba24-ba2c19c6f8c0}
CABLE-B Output,Device,Capture,VB-Audio Cable B,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.1.00000000}.{464d4000-104a-4f2f-8368-030f43a30cdb},VB-Audio Cable B\Device\CABLE-B Output\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{464d4000-104a-4f2f-8368-030f43a30cdb}
Capture,Subunit,Capture,2- Razer BlackShark V2 Pro,,,,,No,,100.0%,-64.00 dB,6.00 dB,1.00 dB,1,6.00 dB,100.0%,{2}.\\?\usb#vid_1532&pid_0528&mi_00#8&4a91a0b&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020001,2- Razer BlackShark V2 Pro\Subunit\Capture,,,,
Deezer,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Program Files\WindowsApps\Deezer.62021768415AF_5.30.210.0_x86__q7m17pa7q8kj0\app\Deezer.exe%b{00000000-0000-0000-0000-000000000000}|1%b17380,VB-Audio VoiceMeeter AUX VAIO\Application\Deezer,C:\Program Files\WindowsApps\Deezer.62021768415AF_5.30.210.0_x86__q7m17pa7q8kj0\app\Deezer.exe,17380,,
Discord,Application,Render,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{18466342-587c-4912-acef-f616f72b3c40}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio VoiceMeeter VAIO\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,VB-Audio Cable A,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{107e5ffc-15f6-43b9-af71-865cf829ece8}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio Cable A\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Capture,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{5bb0492b-a3ae-41b3-b7a9-877617a6ec8b}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,Focusrite Usb Audio\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Capture,2- Razer BlackShark V2 Pro,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{5ef87fdb-952a-4657-b27d-5a7fd8824c4c}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,2- Razer BlackShark V2 Pro\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,THX Spatial Audio,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{e122d422-89a9-49f1-afc8-460a2a8e7676}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,THX Spatial Audio\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio VoiceMeeter AUX VAIO\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Capture,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{6d646b21-1c56-4465-b28c-e86da10a0334}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio VoiceMeeter VAIO\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Capture,VB-Audio Cable A,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{89e457f6-df4d-4457-b64b-39d5816b010b}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio Cable A\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8220,VB-Audio VoiceMeeter AUX VAIO\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8220,,
Discord,Application,Capture,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{88fe08c0-29e0-4cf9-b95f-98052a39b6bf}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio VoiceMeeter AUX VAIO\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,Realtek(R) Audio Codec with THX Spatial Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{5be69f67-5a55-4754-b135-95a0f47b6258}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,Realtek(R) Audio Codec with THX Spatial Audio\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,2- Razer BlackShark V2 Pro,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c55cb5c3-1c48-4716-a8d6-56bff3e90524}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,2- Razer BlackShark V2 Pro\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,VB-Audio Cable B,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9c2ffb91-7173-4597-ba24-ba2c19c6f8c0}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio Cable B\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Capture,VB-Audio Cable B,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{464d4000-104a-4f2f-8368-030f43a30cdb}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio Cable B\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,Focusrite Usb Audio\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Firefox,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe%b{00000000-0000-0000-0000-000000000000}|1%b1744,Focusrite Usb Audio\Application\Firefox,C:\Program Files\Mozilla Firefox\firefox.exe,1744,javascript - node.js call external exe and wait for output - Stack Overflow — Mozilla Firefox,
Firefox,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe%b{00000000-0000-0000-0000-000000000000}|1%b1744,VB-Audio VoiceMeeter AUX VAIO\Application\Firefox,C:\Program Files\Mozilla Firefox\firefox.exe,1744,javascript - node.js call external exe and wait for output - Stack Overflow — Mozilla Firefox,
Line Volume,Subunit,Capture,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio VoiceMeeter AUX VAIO\Subunit\Line Volume,,,,
Line Volume,Subunit,Capture,VB-Audio Cable B,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio Cable B\Subunit\Line Volume,,,,
Line Volume,Subunit,Capture,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio VoiceMeeter VAIO\Subunit\Line Volume,,,,
Line Volume,Subunit,Capture,VB-Audio Cable A,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio Cable A\Subunit\Line Volume,,,,
Mattermost,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Programs\mattermost-desktop\Mattermost.exe%b{00000000-0000-0000-0000-000000000000}|1%b8724,VB-Audio VoiceMeeter AUX VAIO\Application\Mattermost,C:\Users\ianwm\AppData\Local\Programs\mattermost-desktop\Mattermost.exe,8724,,
Microphone,Device,Capture,2- Razer BlackShark V2 Pro,,,,Active,No,6.00 dB,100.0%,-64.00 dB,6.00 dB,1.00 dB,1,6.00 dB,100.0%,{0.0.1.00000000}.{5ef87fdb-952a-4657-b27d-5a7fd8824c4c},2- Razer BlackShark V2 Pro\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{5ef87fdb-952a-4657-b27d-5a7fd8824c4c}
Microsoft® Windows® Operating System,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|#%b{C7846B72-3919-47CB-BBB8-8CE050B3CD7C}|1%b#,VB-Audio VoiceMeeter AUX VAIO\Application\Microsoft® Windows® Operating System,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,9908,,
Razer Synapse 3,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe%b{00000000-0000-0000-0000-000000000000}|1%b1992,VB-Audio VoiceMeeter AUX VAIO\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Razer Synapse 3,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|#%b{82E5A789-0D1B-4464-B01A-BA9AE32EE650}|1%b#,Focusrite Usb Audio\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Razer Synapse 3,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|#%b{82E5A789-0D1B-4464-B01A-BA9AE32EE650}|1%b#,VB-Audio VoiceMeeter AUX VAIO\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Razer Synapse 3,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe%b{00000000-0000-0000-0000-000000000000}|1%b1992,Focusrite Usb Audio\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Speakers,Subunit,Render,VB-Audio Cable B,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,VB-Audio Cable B\Subunit\Speakers,,,,
